,comment_text,label,party
88,❤️🙏,2,conservatives
89,😂,0,conservatives
90,👧😍🙌💖❤️🙏,2,labour
91,👍,0,conservatives
92,🙉🙉🙈🙊,0,conservatives
93,😄😄,0,conservatives
94,🤬,0,conservatives
95,🙄,0,conservatives
96,💐,2,labour
97,🤣👍,0,conservatives
98,🤣🤣,0,labour
99,🔶🟡🟡🟡🟡,1,libdems
100,🙏🙏,2,conservatives
101,🤡,0,labour
102,🤣🤔,0,conservatives
103,🤣😂🤣😂,0,conservatives
104,😂,0,conservatives
105,😡😡😡😡😡,0,labour
106,😞,0,labour
107,😂😂😂😂😂😂,0,labour
108,🤦‍♂️,0,conservatives
109,🤷‍♂️,0,conservatives
110,🤣,0,labour
111,🤷🏼‍♂️,1,conservatives
112,👍🏻,0,labour
113,😂,1,conservatives
114,🤷‍♀️😭🤦‍♀️💔,0,conservatives
115,🏘️,0,conservatives
116,😂,0,conservatives
117,🙄,0,labour
118,🤦🏽‍♀️🤦🏽‍♀️🤦🏽‍♀️🤦🏽‍♀️,0,labour
119,🙄,0,labour
120,🇨🇿❤🇺🇦,2,conservatives
121,🤦🏻‍♂️,0,conservatives
122,👍,1,conservatives
123,🙏,2,conservatives
124,☹️,0,conservatives
125,😉,2,labour
126,🤦‍♀️,0,conservatives
127,👍👍👍,0,labour
128,😆,0,conservatives
129,🤣🤣🤣,0,conservatives
130,❗❗❗,0,labour
131,😡🤢,0,labour
132,🇬🇧🇪🇺🌟,2,libdems
133,🙂,0,conservatives
134,❤️🌹❤️,2,labour
135,🙏❤️😀,2,labour
136,👇👇👇👇👇,1,labour
137,🙏☮️,2,labour
138,🤔,1,labour
139,😔,0,labour
140,🤣,0,labour
141,😁,0,libdems
142,🗳🤗,2,labour
143,❤️💐,2,conservatives
144,🤔,0,labour
145,🤬,0,conservatives
146,😂😂😂,0,conservatives
147,💙❤️💙,2,conservatives
148,🙈🙈😡😡😡,0,conservatives
149,😂,0,labour
150,😂,0,conservatives
151,🫣🤣👍,0,conservatives
152,🏴󠁧󠁢󠁳󠁣󠁴󠁿,1,labour
153,😉😉,1,conservatives
154,👇👇👇👇👇,1,labour
155,💚,2,labour
156,🤷🏻‍♂️🤷🏽‍♂️🤷🏿‍♂️,0,labour
157,👏👏👏👏,2,conservatives
158,💧🤦‍♀️💦,0,conservatives
159,🤔,0,conservatives
160,🤷‍♂️,0,labour
161,🧐,1,labour
162,🤨,0,conservatives
163,😂😂😂😂,0,labour
164,🤔,0,conservatives
165,👍,2,conservatives
166,🤬,0,labour
167,🤣🤣,0,conservatives
168,👍,0,labour
169,🎯🎯🎯,0,labour
170,👏🏻🏳️‍🌈🏳️‍⚧️,2,labour
171,🧢,0,conservatives
172,🎓⚖👉,0,labour
173,😂,0,labour
174,👍,2,labour
175,🪦🪦🪦🪦🪦🪦🪦🪦🪦🪦🪦🪦🪦🪦🪦🪦🪦🪦🪦🪦,0,labour
176,🤔🙄,0,labour
177,🤬🤬🤬,0,labour
178,🥱😴,0,labour
179,🙏🎈✌️,2,labour
180,😉,2,labour
181,😂,0,labour
182,😅🤦‍♂️,0,conservatives
183,💯⁉️✅🤝🏻🏧📊📈👉👇👇,2,conservatives
184,🌹,2,labour
185,💐,2,conservatives
186,🤣,0,conservatives
187,🤣😅🤣,0,libdems
188,💚,2,conservatives
189,🙏,2,conservatives
190,😕,1,labour
191,🐣,2,labour
192,👍,0,conservatives
193,😳,0,conservatives
194,🙄,0,labour
195,😡,0,conservatives
196,😉,0,labour
197,🙄,0,conservatives
198,👍,2,conservatives
199,🤷‍♀️,1,labour
200,😀,0,conservatives
201,✊🏻❤️,2,labour
202,🙌👏,2,conservatives
203,😒😄,0,labour
204,☺️,0,labour
205,😡😡,0,conservatives
206,🥳🙏🌹,2,labour
207,👍,2,labour
208,🙄,0,conservatives
209,😂😂,0,labour
210,🏴󠁧󠁢󠁷󠁬󠁳󠁿💖,2,conservatives
211,🤔,1,labour
212,😄😄,0,conservatives
213,🤡🤡🤡,0,conservatives
214,🤷🏻‍♀️,0,labour
215,🙂🙂🙂,2,conservatives
216,😡,0,conservatives
217,🤔,0,conservatives
218,🤦🏻,0,labour
219,👏🏻👏🏻👏🏻,2,conservatives
220,🤔,0,conservatives
221,👏,2,libdems
222,🙉🙈🙊,0,conservatives
223,😂😂🙄,0,conservatives
224,👍🤣🤣,0,conservatives
225,😃,2,labour
226,😡😡😡,0,conservatives
227,🤬,0,conservatives
228,😱,1,conservatives
229,💩,2,labour
230,👍,2,labour
231,🐣,2,conservatives
232,🤣👍,1,conservatives
233,🙏🙏🙏,1,conservatives
234,🤷🏻‍♂️,0,conservatives
235,😂😂😂,0,conservatives
236,😡,0,labour
237,🌷🌿🌷🌿,2,labour
238,✅✅✅✅✅✅✅,1,labour
239,🤷🏾‍♀️,0,conservatives
240,😍,1,conservatives
241,😂😂😂😂,0,conservatives
242,😡😡😡,0,conservatives
243,😡,0,conservatives
244,🤣😅🤣😅🤣,0,libdems
245,😖,0,labour
246,😡,0,conservatives
247,😭,1,libdems
248,😡,0,conservatives
249,😴,0,conservatives
250,😂😂😂😂😂😳,0,conservatives
251,😊🇬🇧,2,conservatives
252,🤡🤡,0,conservatives
253,😡,0,conservatives
254,🤦,0,conservatives
255,👍👍👍👍👍👍👍👏👏👏👏👏👏,2,conservatives
256,🤣🤣🤣🌎🔫🧑‍🤝‍🧑🇨🇦🇦🇺🇳🇿🇬🇧👫🔫😂,0,libdems
257,🤷🏻‍♀️,0,conservatives
258,🤣🤣🤣,0,labour
259,🤔🤔🤔🤔,1,conservatives
260,👇,1,conservatives
261,🤔,0,labour
262,🏴󠁧󠁢󠁷󠁬󠁳󠁿,2,conservatives
263,😡😡,0,labour
264,💩,0,conservatives
265,🐄💩,0,labour
266,😂,0,conservatives
267,⛪,2,labour
268,🤣🤣🤣,0,labour
269,😔😟,0,libdems
270,😄😄,0,conservatives
271,🤣,0,labour
272,👏👏,2,conservatives
273,🤡,0,labour
274,👌,1,conservatives
275,🤷‍♂️😞,0,labour
276,👎👎,0,labour
277,👌👌,1,conservatives
278,😅,0,labour
279,🤷🏼‍♂️🤷🏼‍♂️,0,labour
280,🤮,0,labour
281,🐣,2,libdems
282,👏,2,conservatives
283,🤦‍♂️,0,conservatives
284,😩,0,labour
285,🤔,1,labour
286,😇,2,labour
287,😎👍,2,conservatives
288,🤯,1,labour
289,😂,0,labour
290,😅🤣😅,0,libdems
291,😰,1,libdems
292,😡,0,labour
293,🤔,1,labour
294,😘,0,labour
295,🤣,0,labour
296,🥺,1,labour
297,😂,0,labour
298,😂,0,labour
299,🤬,0,libdems
300,🤔😞,2,labour
301,😜,1,labour
302,👍,1,conservatives
303,😠🤬,2,labour
304,☘️☘️🇬🇧🇬🇧,2,conservatives
305,💥🇬🇧🇪🇺☀️🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🇬🇧🇪🇺🇺🇦🇬🇧🇪🇺🌟,0,libdems
306,😂😂,0,conservatives
307,😂😂,0,labour
308,🤬,0,conservatives
309,🟦🟦🟦🟦🔹🟦🟦🟦🟦🟦🔷🔷🔹🔷🔹🔷🟦🔹🔷🔷🔹🔹🔷🟦🔷🔹🔹🔹🔷🔷🔹🟦🏂🔶🧡🔶🧡,1,libdems
310,😡😲😲😲😡,0,labour
311,😡😡,0,labour
312,😑,0,conservatives
313,😂,0,conservatives
314,👇,1,conservatives
315,🤔,1,conservatives
316,👍🏾,0,labour
317,😜,1,conservatives
318,✊,2,conservatives
319,🙏,2,conservatives
320,😂,1,conservatives
321,☹️,0,conservatives
322,👍,2,labour
323,☘️☘️,2,conservatives
324,🙄,0,conservatives
325,💩🤢🤢🤮,0,labour
326,🙏♥️,2,conservatives
327,😎😟🥲😉🤨😅,1,labour
328,👍,2,labour
329,🤔🤔🤔,1,conservatives
330,🤔,0,labour
331,😭,0,labour
332,😊,2,conservatives
333,❤️,2,conservatives
334,😂,1,conservatives
335,🐽,0,conservatives
336,🤬,0,labour
337,☘️🇬🇧☘️,2,conservatives
338,😂😢,1,labour
339,🤦‍♂️,1,conservatives
340,👍🏻👍🏻👍🏻,2,labour
341,😂,1,conservatives
342,🤔,0,conservatives
343,✡🙌,2,conservatives
344,🙄,0,labour
345,🙄,0,labour
346,😂,0,labour
347,🃏🃏,0,conservatives
348,🤦‍♂️,0,conservatives
349,🤣,1,conservatives
350,😡,0,conservatives
351,🤔,1,labour
352,😁😁😁,1,labour
353,🤣🤣🤣,0,conservatives
354,🙄,1,conservatives
355,👎🏽,0,libdems
356,🤣😅🤣,0,conservatives
357,🤔🤣,1,conservatives
358,🤬,0,libdems
359,😂,1,conservatives
360,🤡,0,labour
361,🤔,1,conservatives
362,🤣,0,conservatives
363,😉,1,labour
364,👍,2,conservatives
365,😞,0,conservatives
366,😉,1,labour
367,♥️🙏☮️,2,labour
368,🙃😳🙃,0,conservatives
369,🤷🤷,0,conservatives
370,🙏,0,labour
371,☘️,2,conservatives
372,🤷,0,conservatives
373,👍,1,labour
374,🙄,0,labour
375,🥲,0,labour
376,🤔🤔🤔,0,labour
377,💩,0,libdems
378,😡🙄,0,labour
379,👌🏻,0,conservatives
380,🙄,0,labour
381,💖,2,labour
382,😊👍,2,conservatives
383,🤷,1,conservatives
384,😂,1,labour
385,😉😉,1,conservatives
386,🔶🟡🟡🟡,2,libdems
387,👏🏼,0,labour
388,😉,1,labour
389,🙌👏,2,conservatives
390,🤔,1,conservatives
391,👍🇬🇧,2,conservatives
392,🗳😉💪,2,labour
393,👍,2,labour
394,👌,2,conservatives
395,😂,0,conservatives
396,👍🏻,2,conservatives
397,👏,2,conservatives
398,🙄🤬,0,conservatives
399,🐣,2,conservatives
400,🤣🤣,0,labour
401,🙂,2,conservatives
402,🤷🏻‍♀️,0,conservatives
403,😂,1,labour
404,😀,1,labour
405,🤔,2,conservatives
406,🤬,0,conservatives
407,😡,0,conservatives
408,😘,2,conservatives
409,🤔,0,conservatives
410,🤔,0,conservatives
411,🤬🤬🤬,0,labour
412,🤐,0,labour
413,🐰🐣🐤🐥,2,libdems
414,🤔,1,conservatives
415,🤦‍♂️😂,0,conservatives
416,✔️,0,conservatives
417,☹️😥☹️😥☹️,0,labour
418,🤔,0,conservatives
419,✝️💛,2,libdems
420,🤔,0,labour
421,🤣😂,1,conservatives
422,👏,2,labour
423,😡,0,labour
424,💗,2,conservatives
425,😃,1,conservatives
426,🤔,0,labour
427,👍🍾🍾🍾🍾🍾👍,1,conservatives
428,🤔😌,1,labour
429,🤷‍♂️,0,conservatives
430,🤔,1,conservatives
431,😒,0,labour
432,🤣,0,conservatives
433,☎️,1,conservatives
434,🤬,0,conservatives
435,💩🤬🤬🤬,0,labour
436,😄😄,0,conservatives
437,😭😭,0,conservatives
438,🙄,0,conservatives
439,😅,0,conservatives
440,🤷‍♂️,0,conservatives
441,😥,0,conservatives
442,📥📥✍️👇👇👇,1,labour
443,💜🇵🇸,1,labour
444,‼️🤔‼️,0,conservatives
445,📸,0,conservatives
446,🤞,2,labour
447,🤨,0,conservatives
448,🤣,0,conservatives
449,👋,0,conservatives
450,🤔,1,labour
451,🤣🤣🤣🤣,0,labour
452,👏👏👏,2,labour
453,😆,0,labour
454,🌹🌹🌹🌹,2,labour
455,😡,0,conservatives
456,🙄,0,labour
457,🤣😅🤣😅🤣,0,labour
458,😕,0,labour
459,☹️🫣😡,0,conservatives
460,🌹🌹🌹🌹🌹,2,labour
461,😉😉,0,conservatives
462,🤣,0,labour
463,😄😄,0,conservatives
464,🔴,0,labour
465,🙄,0,conservatives
466,😀,1,conservatives
467,🙂,2,labour
468,😂,0,conservatives
469,❤️❤️,2,labour
470,🤣,0,conservatives
471,😂😂,0,labour
472,😁,1,conservatives
473,😂,0,conservatives
474,🤔🤔,0,conservatives
475,😂😂😂😂,0,conservatives
476,😞,0,labour
477,🙀,1,labour
478,🌻🌼,2,labour
479,🤷🏻🤷🏻🤷🏻🤷🏻🤔,1,conservatives
480,🤮🤮🤮,0,conservatives
481,😉😉,1,conservatives
482,😡,0,conservatives
483,😂😂😂,0,conservatives
484,😡,0,conservatives
485,😡,0,labour
486,👍🇬🇧,2,conservatives
487,😄😄,0,conservatives
488,😱,0,conservatives
489,✝️,2,conservatives
490,😡,0,conservatives
491,❌❌❌❌,0,libdems
492,😏📃,0,conservatives
493,🙃,0,labour
494,🤷‍♂️😂,1,labour
495,😟😔,0,libdems
496,😇,2,conservatives
497,👍,1,conservatives
498,🤣,1,conservatives
499,😡,0,conservatives
500,🤔,0,conservatives
501,🤦‍♂️✔️,0,labour
502,🤦‍♀️,0,conservatives
503,🖕,0,conservatives
504,🗳,0,conservatives
505,👏🏻👏🏻,2,conservatives
506,😂,0,conservatives
507,✔️,2,conservatives
508,💪💪🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿,2,conservatives
509,🔶🟡🟡🟡🟡🟡🟡,1,libdems
510,🤷🏻‍♀️,1,conservatives
511,🤬,0,conservatives
512,👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻,2,conservatives
513,😡😡😡,0,conservatives
514,😱🔵🟡🟡🟡🟡🔶🧡,0,libdems
515,🤑,1,labour
516,🤣🤣🤣🤣,0,conservatives
517,🤔🤔🤔,0,libdems
518,🚫😶😶😶😶😶😶🚫,0,conservatives
519,💯👏👏👏,2,labour
520,🩺,1,labour
521,🙄,0,labour
522,👍👎👎👎,0,libdems
523,🤔🤔,0,conservatives
524,🏴󠁧󠁢󠁥󠁮󠁧󠁿,2,labour
525,😡,0,conservatives
526,❤,1,labour
527,🤔,1,labour
528,😡,0,labour
529,😡,0,conservatives
530,🚌,0,libdems
531,🤣,0,labour
532,🙏,2,conservatives
533,🐍,0,conservatives
534,🙄,0,conservatives
535,🇬🇧🇪🇺🌟,2,libdems
536,🥱,0,labour
537,😡,0,labour
538,🟡🟡🟡🟡🟡🟡,0,libdems
539,🤔,0,conservatives
540,🏴󠁧󠁢󠁥󠁮󠁧󠁿,2,conservatives
541,👍👍👍,0,conservatives
542,🙄,0,libdems
543,🤔🤔,0,libdems
544,🤔,0,conservatives
545,😅,0,conservatives
546,😪❤️,1,conservatives
547,😡,0,conservatives
548,🤷‍♀️,0,conservatives
549,🙄,0,libdems
550,☺️,2,conservatives
551,🤣,0,conservatives
552,🥳,2,libdems
553,❤️🌹,2,labour
554,😂,0,conservatives
555,😡,0,labour
556,😂,0,conservatives
557,🤙🏻🇬🇧,2,conservatives
558,🤷‍♂️,1,labour
559,🤮,0,labour
560,🤬,0,labour
561,😄🤔,0,conservatives
562,😜😟🥲,0,labour
563,🇬🇧💪🎉,2,conservatives
564,🤔,0,labour
565,😡,0,labour
566,🐍😡,0,libdems
567,😮😡➕📈👩‍⚕️,0,libdems
568,🇬🇧🤔,0,labour
569,🔶🟡🟡🟡🟡,0,libdems
570,😉😉,0,conservatives
571,☹️,0,conservatives
572,😂,2,conservatives
573,🥀,0,conservatives
574,🤦🏼,0,conservatives
575,😄,2,conservatives
576,🤔,0,conservatives
577,🔶,1,libdems
578,💥🇬🇧🇪🇺☀️🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🇬🇧🇪🇺🇺🇦🇬🇧🇪🇺🌟,0,libdems
579,🤔😔,0,conservatives
580,👏,2,labour
581,👏🇬🇧👏🇬🇧👏🇬🇧👏🇬🇧,2,conservatives
582,😂,0,conservatives
583,😡,0,conservatives
584,😡,0,conservatives
585,▶️,1,libdems
586,😠,0,labour
587,😡😡😡,0,conservatives
588,💰💰💰💰💰💰💰💰💰💰💰💰,1,conservatives
589,🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁷󠁬󠁳󠁿,2,conservatives
590,👏,2,labour
591,🤣🤣🤣🤣,0,labour
592,❤️,2,labour
593,🤣,0,libdems
594,🎄🏴󠁧󠁢󠁥󠁮󠁧󠁿🇵🇭,2,conservatives
595,👍,0,labour
596,🌈,0,conservatives
597,😁,2,labour
598,🤡🇬🇧🇪🇺🌟,0,labour
599,😅,1,libdems
600,😂,0,conservatives
601,🤷‍♂️,0,conservatives
602,😡,0,labour
603,❌❌❌❌❌❌❌,0,libdems
604,👏,0,conservatives
605,🧐,0,libdems
606,👎,0,libdems
607,🏴󠁧󠁢󠁥󠁮󠁧󠁿😊❤👍,2,conservatives
608,👎,0,libdems
609,🧐,0,libdems
610,🤮,0,libdems
611,😊😊,2,labour
612,😂😂😂😂😂😂😂,0,conservatives
613,🤣🤣,0,labour
614,🙏,1,labour
615,😂,0,conservatives
616,😒,0,conservatives
617,❤️🏴󠁧󠁢󠁥󠁮󠁧󠁿⚽🏴󠁧󠁢󠁥󠁮󠁧󠁿,2,conservatives
618,🗳️,2,libdems
619,😳,0,labour
620,🙂,2,conservatives
621,🏴󠁧󠁢󠁷󠁬󠁳󠁿👍❤️🥳,2,conservatives
622,😳😳,1,conservatives
623,🤣🤦‍♂️,0,conservatives
624,🪴,1,libdems
625,😡😡,0,conservatives
626,🤣,0,libdems
627,😄😄,0,conservatives
628,😏📃,0,conservatives
629,🏴󠁧󠁢󠁥󠁮󠁧󠁿👍🏴󠁧󠁢󠁥󠁮󠁧󠁿👍🏴󠁧󠁢󠁥󠁮󠁧󠁿,2,conservatives
630,🙈🙈,0,labour
631,⚡❌,1,libdems
632,🤣🤣🤣🤣🤣,0,conservatives
633,🙄,0,conservatives
634,♥️🤔,1,conservatives
635,🤔🤔🤔🤔🤔🤔🤔,0,conservatives
636,🤣🤣🤣🤣🤣,0,libdems
637,😧,0,conservatives
638,🤣🤣🤣,0,conservatives
639,😄😄,0,conservatives
640,🤷🤔,0,conservatives
641,👏🏻👏🏻👏🏻,2,labour
642,🤔🤔,0,conservatives
643,🤷🏻‍♂️,0,libdems
644,🤡,0,conservatives
645,😂😢😂😢,1,labour
646,🟡🟡🟡,1,libdems
647,🙏,2,conservatives
648,🔶🟡🟡🟡🟡🟡🔵🕛,0,libdems
649,👏👏👏,2,libdems
650,🤗,2,libdems
651,💥🇬🇧🇪🇺☀️🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🇬🇧🇪🇺🇺🇦🇬🇧🇪🇺🌟,0,libdems
652,😡,0,conservatives
653,🤦‍♂️👍,0,conservatives
654,💥🇬🇧🇪🇺☀️🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🇬🇧🇪🇺🇺🇦🇬🇧🇪🇺🌟,0,libdems
655,🐁,1,libdems
656,👀👀,0,conservatives
657,😂,2,labour
658,👌,1,conservatives
659,❤️,2,labour
660,😂,0,conservatives
661,🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿,2,conservatives
662,😢,0,conservatives
663,🙏🏾🙏🏾🥰🥰,2,conservatives
664,☹,0,labour
665,✔️✔️✔️,0,conservatives
666,🤬,0,conservatives
667,🌹,2,labour
668,🤣🤣🤣,0,labour
669,🤔,0,labour
670,😡,0,conservatives
671,❌☠️📢,0,labour
672,🙏🏽,2,libdems
673,😩,0,labour
674,🗳,1,libdems
675,😡😡,0,libdems
676,👍,2,conservatives
677,🫶,1,conservatives
678,🎄,0,conservatives
679,❄️,0,conservatives
680,🪁,2,libdems
681,💔,1,conservatives
682,🤔,0,libdems
683,👏🏼,0,labour
684,🤦🏻,0,conservatives
685,🤷‍♂️,0,libdems
686,😂😂😂,0,labour
687,😄😄,0,conservatives
688,😳,0,conservatives
689,😑,0,labour
690,😠,0,conservatives
691,😡😡😡😡,0,conservatives
692,😕,0,labour
693,🙄🤮,0,libdems
694,🏴󠁧󠁢󠁥󠁮󠁧󠁿,2,conservatives
695,😡😡,0,conservatives
696,🤔,1,conservatives
697,🤣🤣,0,labour
698,🎄🎄,2,conservatives
699,👏,2,labour
700,🎊✨🥳🌈🎉💫🎆🍻,2,libdems
701,🐘🇪🇺🐘🇪🇺🐘🇪🇺🐘🇪🇺🐘🇪🇺🐘🇪🇺🐘🇪🇺🐘🇪🇺,0,labour
702,🇬🇧🇪🇺🌟,2,libdems
703,🤬,0,labour
704,😳,0,conservatives
705,👏👏👏,2,conservatives
706,🏴󠁧󠁢󠁥󠁮󠁧󠁿🇵🇱🏴󠁧󠁢󠁥󠁮󠁧󠁿🇵🇱🇺🇦🙏🏼,2,conservatives
707,👍,2,labour
708,😒,0,conservatives
709,🏴󠁧󠁢󠁷󠁬󠁳󠁿,2,conservatives
710,🤞,2,conservatives
711,🤔,0,conservatives
712,😂😂😂,0,conservatives
713,😊,2,labour
714,💰,0,libdems
715,🧐,0,libdems
716,🤔,0,conservatives
717,🏴󠁧󠁢󠁳󠁣󠁴󠁿🇬🇧,2,conservatives
718,😂,0,conservatives
719,😪😪😪,1,labour
720,🤣,0,libdems
721,😢😢😢😢,0,labour
722,💩,0,labour
723,😔,0,libdems
724,🤣🤣🤣,1,labour
725,🟡🟡🟡🟡,0,libdems
726,🧡🔶🟡🟡🟡🟡,0,libdems
727,🙈🙈🙈🙈,0,labour
728,❤️❤️❤️,2,conservatives
729,😜,0,conservatives
730,⬇️,1,libdems
731,💭,1,conservatives
732,😡,0,conservatives
733,🗳,1,conservatives
734,🤬,0,conservatives
735,👍,2,labour
736,😊,2,libdems
737,🤔🙄,0,labour
738,❤️😎,1,labour
739,🐇,2,libdems
740,🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿,2,labour
741,🤔🤔,0,conservatives
742,🤭,0,labour
743,😂,0,conservatives
744,🥂🥂🥂🥂,2,conservatives
745,😊,2,conservatives
746,🤔,0,conservatives
747,👍,0,conservatives
748,👏👏👏👍,1,conservatives
749,🙏💖,2,conservatives
750,🌹🌹🌹,2,labour
751,🤣🤣🤣🤣🤣,0,conservatives
752,🤔🤔🤔😡,0,labour
753,🙂🏴󠁧󠁢󠁥󠁮󠁧󠁿,2,conservatives
754,😟,0,libdems
755,😩,0,conservatives
756,❌☠️📢,0,labour
757,❤️,2,conservatives
758,❤️,2,labour
759,🍀🏴󠁧󠁢󠁥󠁮󠁧󠁿,2,conservatives
760,😢,0,conservatives
761,👏👏👏,2,conservatives
762,🟡🔶🟡🟡🟡,1,libdems
763,😎,0,labour
764,👍🏽,1,conservatives
765,👋,0,conservatives
766,😡,0,conservatives
767,😡,0,conservatives
768,😀,0,conservatives
769,😂😂,0,conservatives
770,😂😂😂😂😂,0,conservatives
771,😂😂,0,conservatives
772,🤡,0,libdems
773,🤔,1,conservatives
774,✅,2,conservatives
775,😟🤬😞😒,0,labour
776,😡,0,conservatives
777,🤣,0,conservatives
778,🤔,1,labour
779,🌹,2,labour
780,🏴󠁧󠁢󠁳󠁣󠁴󠁿,0,labour
781,🗳,1,conservatives
782,🤣🤣🤣,0,conservatives
783,🎥,0,libdems
784,🥹,2,labour
785,💂‍♀️,0,conservatives
786,🟦🟦🟦🟦🟦🟦🟦🟦🟦🔹🟦🟦🟦🟦🟦🔷🔷🔹🔷🔹🔷🟦🔹🔷🔷🔹🔹🔷🟦🔷🔹🔹🔹🔷🔷🔹🟦🏂🔶🧡🔶🧡,1,libdems
787,🤬🤬🤬🤬,0,conservatives
788,😂,0,conservatives
789,😡,0,conservatives
790,🤷‍♂️,0,conservatives
791,🤣🇬🇧,0,conservatives
792,👏,2,conservatives
793,🔥,0,libdems
794,👍,1,labour
795,🏴󠁧󠁢󠁳󠁣󠁴󠁿🇬🇧🇬🇧,2,conservatives
796,😡,0,conservatives
797,🧐,0,libdems
798,😁,0,libdems
799,✌😎✌,1,labour
800,😉😉,0,conservatives
801,🤣🤣🤣🤣🤣,0,conservatives
802,🔟📈🦠🧡🥇🗳️,1,libdems
803,😁,2,conservatives
804,📢,0,conservatives
805,😡😡😡😡😡😡😡,0,conservatives
806,👍👍,2,labour
807,🤷🏻‍♀️,1,labour
808,🌹🌹🌹,2,labour
809,🙄,0,conservatives
810,👇,1,conservatives
811,🎣,1,conservatives
812,💐🎺,2,conservatives
813,👍🇫🇴,2,conservatives
814,😞,0,conservatives
815,🤬🤬🤬🤬🤬🤬🤬🤬🤬,0,conservatives
816,✌😎✌,1,labour
817,👍,1,conservatives
818,🤥,0,conservatives
819,👏,0,conservatives
820,🤬,0,labour
821,😡👿👿👿,0,labour
822,🤙🏻🏴󠁧󠁢󠁥󠁮󠁧󠁿🇬🇧🏴󠁧󠁢󠁳󠁣󠁴󠁿,2,conservatives
823,🔥🔥🔥,0,libdems
824,👍,2,conservatives
825,😂,0,conservatives
826,😂,0,conservatives
827,🙄,0,conservatives
828,🏆,0,labour
829,😡,0,conservatives
830,😂,0,conservatives
831,🌟🎼💕,2,libdems
832,😬🤥,0,labour
833,🤣,0,labour
834,😱😞,0,labour
835,🤔,0,labour
836,😞,0,libdems
837,🥳🎉,2,libdems
838,😂,0,labour
839,💦,0,conservatives
840,🤣,0,labour
841,🤔🤔🤔,0,libdems
842,🥲,0,conservatives
