,comment_text,label,party
130161,👍,2,labour
167882,😆,2,labour
177518,👍,2,libdems
178932,👍,2,libdems
179742,👍,2,libdems
177471,👍,2,libdems
178861,👍,2,libdems
176133,👍,2,libdems
181366,👍,2,libdems
180682,👍,2,libdems
180327,👍,2,libdems
178664,👍,2,libdems
178129,👍,2,libdems
179956,👍,2,libdems
179548,😡,0,libdems
176716,👍,2,libdems
179474,😡,0,libdems
176211,👍,2,libdems
177136,👍,2,libdems
181173,👍,2,libdems
177597,👍,2,libdems
178599,👍,2,libdems
178317,👍,2,libdems
179419,👍,2,libdems
181603,👍,2,libdems
180357,👍,2,libdems
178294,😆,2,libdems
181881,🥰,2,libdems
180218,👍,2,libdems
179104,😆,2,libdems
178640,👍,2,libdems
178489,👍,2,libdems
179299,👍,2,libdems
179130,😡,0,libdems
181493,❤️,2,libdems
177168,👍,2,libdems
179752,👍,2,libdems
180489,😡,0,libdems
180718,😢,0,libdems
180335,👍,2,libdems
178475,👍,2,libdems
178560,👍,2,libdems
177778,😮,1,libdems
180980,👍,2,libdems
178360,😡,0,libdems
179599,👍,2,libdems
181786,❤️,2,libdems
177122,👍,2,libdems
178038,👍,2,libdems
181639,👍,2,libdems
181490,❤️,2,libdems
180446,👍,2,libdems
177676,👍,2,libdems
180518,👍,2,libdems
180038,👍,2,libdems
