comment_text,label,party
👍,2,labour
👍,2,labour
👍,2,labour
😡,0,labour
👍,2,labour
😆,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
😆,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
🥰,2,labour
👍,2,labour
😆,2,labour
👍,2,labour
😆,2,labour
😆,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
😆,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
😡,0,labour
👍,2,labour
👍,2,labour
😆,2,labour
👍,2,labour
😆,2,labour
❤️,2,labour
👍,2,labour
😆,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
😆,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
😆,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
😆,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
😆,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
😆,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
😢,0,libdems
🥰,2,libdems
👍,2,libdems
👍,2,libdems
🥰,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
❤️,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
❤️,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
❤️,2,libdems
😢,0,libdems
👍,2,libdems
😡,0,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
😡,0,libdems
👍,2,libdems
👍,2,libdems
😡,0,libdems
👍,2,libdems
❤️,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
😡,0,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
😡,0,libdems
😡,0,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
❤️,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
😮,1,libdems
❤️,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
😡,0,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
😢,0,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
😡,0,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
😡,0,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
😢,0,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
😢,0,libdems
❤️,2,libdems
🥰,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
🥰,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
❤️,2,libdems
👍,2,libdems
👍,2,libdems
👍,2,libdems
