,message,created_time
34,"Conservatives are trying to takeaway all of our rights, quite happy for huge companies like P & O to sack all their staff and March people in on a fraction of the wages, no sick pay, less holidays etc… that’s the world they want! They can find billions for bogus contracts to give to theirs pals,but not to give hard working people an honest pay rise 🤷‍♂️ People need to wake up!",2023-01-17T09:35:49+0000
35,Well of course they did!! Labour are bankrolled by the Unions so the Unions call the shots!!! Nothing new!🙄🙄,2023-01-17T13:07:18+0000
36,Mick Lynch for PM 🗳️,2023-01-16T22:46:09+0000
37,"Yes how awful, Labour standing up for workers rights! Imagine how much more corrupt you Tories will become once you can shaft the workers even more 🤔",2023-01-16T23:14:24+0000
38,Labour are on the side of the workers unlike this hard right wing Tory government who are to blame for the mess we are in 😡,2023-01-16T23:24:23+0000
39,Yes we do know why because the Tory’s are shafting every hard working person 🤬,2023-01-17T18:12:38+0000
40,A lot of champagne socialists here and don’t understand politics and what’s going on in the world!🤦‍♂️,2023-01-17T08:48:43+0000
41,He couldn't run a bath 😂😂😂😂😂,2023-01-16T22:42:46+0000
42,I wish he was running the show! The only issue I have is that he is (or was) a Brexiteer which doesn’t make sense given his role. The EU have a lot of legislation to protect workers rights🤷‍♂️….all of which the tories want to put on the bonfire according to ReesFogg.,2023-01-17T10:28:20+0000
43,"To currently cover minimum levels in the nhs they have to use agency staff, lots of agency  staff. So I'm curious to see what the plan is for future strike days when you can't even cover it now. 🤔",2023-01-16T19:05:06+0000
44,Great! Minimum service levels would be a great start to ensuring that patients have the correct number of staff available per shift. Is your plan that this happens everyday or just when staff strike? Because I feel you have a duty to make sure it's every day.   The staff will be very pleased to know that you'll be providing extra staff to achieve this! Maybe everyday needs to be a strike day! 🙂,2023-01-19T09:18:35+0000
45,"Protecting patients, commuters and keeping children in school by running down the services and putting more and more pressure on the workers.. uhmmmm 🤔😔",2023-01-18T09:57:06+0000
46,Good work 👏   People have the right to strike from work if they wish but they shouldn't be allowed to stop others from working. This should have been done years ago,2023-01-16T13:38:13+0000
47,Disgusting you have no respect for working people i hate this money business power government  they are not being fair 😡,2023-01-30T23:31:28+0000
48,"Great News..About Time ,Stupid idiots, waste our time & don't get anywhere. 👍👍👍",2023-01-17T11:44:27+0000
49,"What about minimum levels on non strike days? Political games , by a government that has no sense of the nation’s mood - and resorts to ‘bully boy’ tactics. ☹️",2023-01-16T08:45:25+0000
50,"“We won’t let Labour-backed unions grind Britain to a halt”  Aye,  you’re doing that all by yourselves 🤷‍♀️",2023-01-16T08:46:54+0000
51,And can we get an ambulance to someone who’s had a heart attack on time? I think you’ll find the average person cares much more about that 😡,2023-01-14T17:27:33+0000
52,That’s good flash it all over news and social media ! Whatever happened to keeping things private to keep the enemy guessing 😡,2023-01-14T13:55:31+0000
53,🤦🏼 another bad decision from our brilliant government !,2023-01-14T13:37:38+0000
54,LOL. It’ll be interesting to see how your neglect of domestic matters will fly with voters at the next general election. I suspect that we shall find serious discrepancies between your priorities and ours. The clock is ticking 😉😉,2023-01-15T13:17:36+0000
55,Rejoini-smacks will be desperately scrabbling around the internet searching for something negative in a pathetic attempt to try save face 🤣🤣🤣,2023-01-13T13:55:47+0000
56,"We need all the help we can get,well done ✅",2023-01-13T14:48:38+0000
57,NHS failing. Transport networks crippled. School system broken. Economy crashing. Cost of living skyrocketing. Energy sector a shambles. People are unhappy. 13 years of Tories caused this. But at least london has a lot of tech funding! 👏,2023-01-15T16:21:03+0000
58,While northern coastal towns looking to become top European destination for hotels housing illegal immigrants 😂,2023-01-13T14:01:01+0000
59,Strange really when the remoaners were ALL saying that the City was Doomed! Doomed! Doomed I tell you☺,2023-01-13T14:44:10+0000
60,"And when it's all done, Sturgeon will still want independance from us 🤣🤣🤣🤣🤣",2023-01-13T13:25:11+0000
61,How about build 2 new border protection depots on the south coast 😂,2023-01-13T16:07:30+0000
62,This tiny increase had nothing to do with anything you did! 😂 It was the World Cup! But whatever. I guess you need all the good press you can get right now.,2023-01-13T13:20:53+0000
63,"Yes only because the world cup was on and it was a meager 0.1% increase, small achievements for a soon to be small party 😂",2023-01-13T11:54:49+0000
64,Congratulating yourselves for things not getting worse 👏,2023-01-13T11:29:31+0000
65,"Fantastic work Conservatives! It was a work of genius to introduce Christmas shopping and a World Cup drinking session as part of your manifesto. Maybe we could make it an annual thing where everyone spends loads of their yearly savings over the space of a few weeks? That international football competition drinking session would probably have to be every other year though, I’m not sure the nations livers could take it. Again though, inspired thinking to get that MASSIVE 0.1% growth!! Keep up the spectacular job you are doing and keep that blue sky thinking coming our way! 👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻",2023-01-13T23:42:07+0000
66,Keeping the economy barely alive yeah great. 👏,2023-01-13T11:39:24+0000
67,I don’t know why people think this deserves a 😂 emoji!!  And funny how they’re all male!! Guess what??!! Men can get it as well!!  This is fantastic news for families,2023-01-12T17:10:07+0000
68,"I have a maths question for our unelected PM…  If you promise five thousand new/ extra nurses, and four thousand resign, because of the ideology of this right wing government, and poor conditions, lack of pay and funding… HOW meany do you really need 🤦‍♂️",2023-01-13T12:59:30+0000
69,"Lost the plot, but really has never had one. 💙🇬🇧",2023-01-12T16:01:17+0000
70,Brexit it IS. 👏👏👏👏,2023-01-12T16:08:27+0000
71,Going well this brexit lark isnt it? 😅😅😅,2023-01-12T20:26:03+0000
72,Move on and stop holding us to account for the mess Brexit has made of our once great country!! 🤫🇬🇧🇪🇺,2023-01-12T16:18:55+0000
73,Can you defund the leftist BBC 👍,2023-01-12T10:08:31+0000
74,Fix lol 😂 you can’t fix your own shoe laces we see more corruption in this government government ministers having to pay 3 million tax back to hmrc 😆😆😆😆,2023-01-20T18:39:09+0000
75,"""Oh no he didn't""  Just like he didn't party in Durham🤣🤣🤣🤣",2023-01-11T17:53:17+0000
76,Yep - but the Toerags main thrust is to teach Maths until 18 ! Bold and brave.🤣🤣🤣🤣🤣,2023-01-11T17:59:13+0000
77,"Starmer is on the wrong side of every argument and that’s why he has no policies and having accepted this money, few principles!  Other than opposing Brexit, nobody knows what he stands for because if he told us, people wouldn’t vote for  his version of North London wokery.  Labour stopped representing our communities a long time ago 🥀",2023-01-15T09:46:14+0000
78,Coming from the actual cesspit that is the Tory party. I don’t even know where to start with this 🤦🏻‍♂️,2023-01-11T22:54:13+0000
79,Japanese troops on our streets? What could possibly go wrong.😂,2023-01-11T17:21:19+0000
80,Yet you struggle to prevent civilians in rubber dinghies from crossing a short stretch of the English Channel 😄😄,2023-01-11T17:51:39+0000
81,This is all about UK and Japan combining on development of next gen fighter jets. A good deal for both countries 🙂,2023-01-12T07:45:31+0000
82,"That's really going to help the poor people who you have created over the last 10 years, you rich people don't have a clue about the reality of austerity and holding pay back for years, doctors, nurses full time working people having to use food banks due to your plans to get rid of the debt making us all worse off than when you started !!! And your plan🤔get the debt down and keep wages down 🤔 sounds familiar, unless the deal done with Japan is going to help ? 🤔. Clueless absolutely clueless.",2023-01-12T16:56:12+0000
83,Wow switched the comments from most relevant which had 4 comments to all are the Conservatives trying to hide the comments section now 😂😂,2023-01-11T17:23:33+0000
84,He looks nervous … he looks like a man that’s thinking he may have just poked the fire 😂 that’s Far Eastern Europe covered and far Western Asia ticked … I’ll go grab some popcorn and watch the squeeze 😬,2023-01-11T21:46:05+0000
85,This is the *best* parody page on FB! 🤡,2023-01-11T21:36:50+0000
86,Sadly the Tory party have asset-stripped the country 😥,2023-01-09T20:48:51+0000
87,Wonder if he's shook the hands of all the people outside that have been queueing in Ambulances for 6 hours!! 😡😡,2023-01-09T21:41:07+0000
88,"Please help the nurses. They pay to go to uni, have to work for free for three years then start on 27k working nights and 12hr shifts. 😧",2023-01-09T17:47:03+0000
89,How will he staff them 🤔,2023-01-09T17:53:24+0000
90,We have a magic hospital tree bed too!😂,2023-01-09T18:05:52+0000
91,Think Rishi needs to go do some maths classes at least its a start after 12 yrs of underfunding way too late though especially as he wasted 37 billion on a pink elephant called track and trace how much could the 37 billion funded alone in the NHS he should be held accountable allowing such a huge figure of wasted tax payers money 💰 thing he needs maths lessons himself an be held accountable for his mistake as chancellor,2023-01-09T13:49:38+0000
92,"Clearly l am living in a parallel universe to our PM. Where l live there are no places in care homes, there are insufficient care workers to cope with homes and residents that exist at the moment and there are insufficient carers to enable people to return to their own homes🤔",2023-01-09T17:34:15+0000
93,Not that hard. Just re open those regional ( cottage ) hospitals closed a few years ago and many of which are sitting there empty and unused !! Why can't government see the simple solutions that are staring at them and everyone else can see 👀👀,2023-01-09T13:39:37+0000
94,"I've voted Conservative for over 50 years, never again while that rat 🐀 is PM. Just pay the nurse's and stop the graduate policy of nursing and get back to it being a vocation. Pay the front line fit wages.",2023-01-09T13:34:04+0000
95,"Happy Christmas to everyone May this Christmas fill the heart and home of people with Joy, love and good health 🙏🏽❤️💐.",2023-01-07T10:25:42+0000
96,"Why just them? Christianity insists ""Love thy neighbour?"" Treat others as you would have done to yourself? That would seem to exclude every member of the Tory Government? 🤬",2023-01-07T21:12:37+0000
97,Thank you very much!  It is highly appreciated.😊,2023-01-08T07:33:16+0000
98,Merry Christmas to all the Christian believers in the world ❤️❤️❤️,2023-01-07T15:34:00+0000
99,Amen 🙏,2023-01-07T18:34:50+0000
100,Merry Christmas🎄from 🏴󠁧󠁢󠁥󠁮󠁧󠁿🇵🇭,2023-01-07T14:55:06+0000
101,Martin Sharp 😄,2023-01-07T09:41:13+0000
102,Oh thank goodness for that! We were all really worried about all those people buying new builds having a dodgy internet connection...🙄,2023-01-06T14:09:36+0000
103,I wish you responded to your other mistakes as quickly as you responded to this one!!!!! 😂😂😂,2023-01-06T13:44:24+0000
104,Such a pity that people listened to JOHNSON in 2019! We would ALL have had free broadband if we had voted for Corbyn instead. It’s amazing that Tories are such slow learners.  Now we are stuck with the Chaotic Cons! 😢,2023-01-07T17:31:14+0000
105,Wow that’s way up there on my important list not 😂😂😂😂,2023-01-06T16:15:06+0000
106,Everyone of those items are listed areas that the Conservatives have failed to deliver and have infact made worse. Stop deflecting I am not fooled 😡,2023-01-05T18:21:41+0000
107,This constant criticism of others isn’t really working is it 🤷🏻‍♀️ best to get your own house in order first before trying to censure others .. this is what improves your validity.,2023-01-06T09:31:12+0000
108,I didn’t realise keir was in charge?? 😮,2023-01-05T17:49:19+0000
109,I am 55 Year old and through various  Governments I have never seen this country in such an appalling state. The Conservatives need to take responsibility for that. Stop blaming others that haven't been in power. Tell the truth instead of all the spin. I just don't believe or trust them anymore. Defection and blaming everyone else is their strategy. Get real 😡,2023-01-05T11:52:05+0000
110,This is a bit rich from a Government who can’t stop the dinghy invasion! 😡,2023-01-05T12:00:25+0000
111,You’ve had 3 in the past couple of months so I would keep quiet if I were you lot 🙈😡😡,2023-01-05T18:49:48+0000
112,Rishi OUR PRIORITIES  for U.K  bright and blessed future 🙏,2023-01-05T11:19:05+0000
113,Is this a parady 😂,2023-01-05T11:59:07+0000
114,LOL. What you meant to say was “our priorities are your priorities” 😉😉,2023-01-05T11:00:02+0000
115,😏 Nah …. Rishi has never worried a about a gas and electricity bill 📃,2023-01-05T19:27:54+0000
116,I’d like to know how these 5 things became my priority. 🤔,2023-01-05T11:04:39+0000
117,Unless you're a nurse or a Train worker 🤣,2023-01-05T13:08:12+0000
118,You are taking about solving the five problems you created as through you are doing us a favour 😡,2023-01-05T07:09:03+0000
119,Chronic underfunding of the NHS is not an unexpected‘crisis’ It is deliberate sabotage 😡,2023-01-05T23:27:01+0000
120,"How long will this take? 13 years? 🤷 Totally removed from reality, Rishi Sunak delivers yet another set of hollow slogans to justify his sickeningly high pay grade while pensioners lay on trolleys in hospital corridors for 24 hours at a time.",2023-01-07T18:22:17+0000
121,"We need to do what the Athenians used to do, All public officials faced an audit when they left office, and corrupt and/or incompetent ones were punished with exile or execution.  We need that bringing back. 😡",2023-01-07T14:11:40+0000
122,"How many more years do we have to wait for the Government to resolve the Social Care crisis? And the elderly patients are NOT BED BLOCKERS! They are sick people who have no support when they leave hospital! The elderly are treated as second class citizens in this country. An inconvenience! Stop throwing money at the NHS. The management are not accountable for how it is spent. Still creating overpaid 'box ticking' posts and painting rainbow crossings! None of this helps the patients and the nurses who are struggling to look after them! And what happened to your promise to FINE patients who abuse the NHS by not attending GP and hospital appointments? Do you know how much it has cost? Yes, of course the A & E Depts. are under pressure because hundreds of them have closed completely or are not open 24/7 and the population is out of control! What happened to the fairy story about 40 new hospitals by 2030? Why don't you tell people that this does not mean NEW HOSPITALS, or a major refurbishment and alteration. It may be a major new clinical building on an existing site or a new wing of an existing hospital . Where will you find the doctors, nurses and GP's. ? It will never happen! And how much money have you written off from the furlough scheme that paid people for staying at home? A 5 point plan, a 10 point plan - no one is listening any longer because they do not believe it will happen, especially the small boat issue and the NHS. 😈",2023-01-04T17:08:29+0000
123,"Reform guys, Reform.. ✔️",2023-01-04T20:47:39+0000
124,"When you deliver on your promises, perhaps the electorate will trust you again.🤔",2023-01-04T19:16:12+0000
125,"Believe it when I see it, all governments are full of promises that they dont keep, so ill not hold my breath 😡",2023-01-04T17:53:58+0000
126,Yeah Whatever all I’ve seen the tories do over the last couple of years is help the rich get richer and the poor get poorer which I find very hard to swallow due to the fact I’ve voted Tory for the last 30 years 😡,2023-01-04T16:39:13+0000
127,Well done Rishi 👍,2023-01-04T15:47:06+0000
128,My priority is getting my daughter a filling before she can begin life-saving chemo which is due to start on Friday-no dentist no chemo 😡,2023-01-04T15:03:21+0000
129,"LOL. Be honest. Your policy is, “if it moves, tax it, if doesn’t, shower it with taxpayers cash” 😄😄",2023-01-04T15:20:01+0000
130,"Rather than adding even more money, how about looking into the processes and organisation. As a patient dealing with the NHS, it is right in your face that the processes are very inefficient ( e.g. in A&E, you have to tell 5 different people of different levels the same thing. If the doctor/ nurse would have the information I have already given so many times, they can save 80% of their time. The organisation itself is so complex that all NHS departments have many different spreadsheets just to understand who is responsible for what part and what should happen next, at least 50% of time can be saved here. One organisation, same process everywhere and one system and suddenly it works 😳",2023-01-04T18:02:02+0000
131,"Have not seen a policeman walk past my house “on the beat” in over 30yrs, not even in fancy dress. I bet 90% of todays police force wasn’t even born when I last saw one doing the rounds on foot 🥸",2023-01-03T09:50:40+0000
132,"The last time I saw a police man walking it turned out somebody had stolen his van, more police on the beat Yeeeah 🤣",2023-01-03T09:05:51+0000
133,This is great its reLly gona sort the mess you lot have made of this country  i hope someone gave you a sticker 😀,2023-01-01T17:21:28+0000
134,Bring back Boris... He will get us out of this holy mess. Then it will be the best New Years..... 💙💙💙,2023-01-01T00:42:49+0000
135,Some comments on hear make me laugh when have labour ever been great 😂,2023-01-01T00:45:13+0000
136,Well done indeed Rishi 👏👏👏 As you can see by the comments you have really got up the nose of the Labour Left. 👍,2022-12-31T21:52:36+0000
137,Well done Rishi 👏👏👏,2022-12-31T17:42:36+0000
138,What a 🔔 end. Proud of many things but our leaders is definitely not one!!,2022-12-31T18:37:27+0000
139,🏘 This is just some of what we're doing to help households - visit conservatives.com/achievements for more,2022-12-30T13:36:07+0000
140,"Printed money creates inflation which you have done in record amounts complete mis handling of finances and latest stunt voted the latest leader in behind closed doors the very man that was supposed to have control of the money (eat out to help out 🤣) borders are non existent, law and order is a joke, highest taxes for 70 years and I was a conservative member note was, have now joined Reform in the hope there popularity opens your eyes what a farce we must be the laughing stock of the world 😢",2022-12-30T18:44:11+0000
141,🏘 This is just some of what we're doing to help households - visit conservatives.com/achievements for more,2022-12-29T16:20:31+0000
142,✔️ fuel bills through the roof ✔️ 12 hour waits for an ambulance and can't get a doctors appointment ✔️ victims crime just given a reference number as police don't have the resources to investigate,2022-12-29T16:20:52+0000
143,"Deluded, so far removed from your electorate  It’s not working, throwing out magnanimous statements no longer carry impact, every part of the civil service is broken 😡 the country is a mess, councils and government waste is startling, stop treating us like we are simple",2022-12-30T18:49:21+0000
144,Same old same old call an election 🗳,2022-12-29T16:43:14+0000
145,Merry Christmas for the 1% and we have to pay for your parties now too 😂,2022-12-25T10:40:55+0000
146,Don't bother from a very despondent once proud EX tory member 🥲,2022-12-25T20:06:20+0000
147,I have been waiting for last 7 hours after calling for emergency to 999 and all they saying they will send an ambulance my foot 😡  If NHS is total failed then stop charging us for ambulance service with council text simple ..   Total failed government,2022-12-26T23:33:46+0000
148,Merry Christmas to you All ✝️🎄,2022-12-25T08:02:33+0000
149,Not a normal house all the lights are on 😡,2022-12-25T14:21:06+0000
150,"Lovely message, Merry Christmas Conservatives 🎄👍🇬🇧",2022-12-25T09:31:08+0000
151,"Merry Christmas, I hope you’re all celebrating like it’s 2020 🥂🥂🥂🥂",2022-12-25T17:38:00+0000
152,"Merry Christmas to you all and best wishes for 2023 ❤️❤️ always been a loyal Conservative voter and supporter, and will continue to be x",2022-12-29T23:28:15+0000
153,Merry Christmas 🎄🎄,2022-12-25T09:27:43+0000
154,"If you are that grateful, make MP’s salaries the same as nurses salaries and give pensioners a living state pension then maybe close all borders to economic migrants - or isn’t it about the money 😡😡😡",2022-12-24T13:56:49+0000
155,At the end of the day you couldn't care less. You are extremely comfortable with your millions whilst many people in the UK are struggling to either heat their homes or eat. This government is a disgrace and don't even think about adding 12p to fuel 😡😡😡😡😡😡,2022-12-24T17:58:40+0000
156,Well give them the wages and recognition they’re asking for 😡😡😡😡. Total joke of statement 😡😡😡,2022-12-29T10:07:32+0000
157,They must be the minority as most of the country seems to be on strike 🤥,2022-12-24T22:57:14+0000
158,Have your voice heard and tell Labour they cannot remain silent on their union paymasters strikes 👇  https://action.conservatives.com/nightmare-before-christmas/,2022-12-23T10:10:28+0000
159,Stop blaming unions for the amount of money the Conservatives  have wasted. Billions and billions absolute disgrace. Just be honest and stop scapegoating other organisations 😡,2022-12-23T10:39:06+0000
160,Love how this is labours problem yet you’ve been in charge for 12 years 😂,2022-12-23T10:11:17+0000
161,I can’t cope with how childish our leaders are. Name calling is the stuff of playgrounds. How do they think this is appropriate? 🙈  I guess they’re sticking to what works well for them sadly. A lot of Conservative votes have been gained from mud throwing. Such a crappy situation.,2022-12-23T12:11:12+0000
162,"😂 Ha the irony in these posts is the tories think that the public don't support the strikes, Labour are missing a trick in staying silent, the NHS strikers above all deserve all our support. I have voted Conservative all but once in my adult life but we cannot build a health service for the future if no-one wants to join it because the pay is so poor. Wake up Rishi or pay the price at the GE..",2022-12-23T10:26:58+0000
163,If anyone needs a pay rise it’s them 🙏,2022-12-22T20:43:37+0000
164,"No but this veteran is transporting patients, for £148pcm less than I was on as a guardsman! Am I mad? No because I signed on like the rest. You take the rough with the smooth.  30 yr old daughter now. I think we shared 12 winters together.  I’ll tell you why! Because we care. To all politicians, irrelevant wether you’re PM or MP, you’ll end up on the back of an ambulance one day. Midwife, vicar, doctor, nurse, postie, nursery, teacher, police, soldier, fireman, solicitor, ambulance, urgent care, social, private ambulance, undertaker. vicar.  That’s you’re life right there. Everyone else is a bonus!   I was once willing to give my life, for what I believed this country stood for!  Today, I’d give ve my life to protect my family, from what this country has become! 💂‍♀️",2022-12-23T22:01:25+0000
165,"Another public service that is underpaid and underfunded....the only people in public service who are over paid are politicians, especially Conservative ones...😡",2022-12-22T21:17:35+0000
166,Is that why we still have vets on the streets whilst the ILLEGALS lash it up in hotels 😡 you speak 💩💩,2022-12-25T18:54:40+0000
167,Well you f🤬kers are pure evil…,2022-12-22T12:02:03+0000
168,"🎣 This is on top of our landmark £100m investment in fishing infrastructure, skills and better scientific",2022-12-21T20:18:56+0000
169,"Better scientific what..?  That's not even a full sentence 🤣 And as for the fish. So yeah, they may be able to catch more but who are they going to sell it to? Their biggest market is all but closed off to them now 🤦‍♂️",2022-12-21T21:54:48+0000
170,What do you mean can catch? They are 🇬🇧 waters 💧,2022-12-22T08:44:40+0000
171,The laugh of man knowing they won’t be getting a pay rise during his tenure 😆,2022-12-20T09:41:25+0000
172,But Happy Christmas is frowned on 😡,2022-12-18T21:57:26+0000
173,"So agree, to all my friends ❤️",2022-12-18T16:39:07+0000
174,❤️🙏,2022-12-19T06:49:37+0000
175,Like anyone here can afford candles now 😂,2022-12-19T15:44:33+0000
176,Not long now till your out of power hopefully some other party might make a difference and put the working class before your rich friends who line your pockets maybe the government might do the right thing and take a pay cut in line with inflation like the rest of the country has or do you all think you are worth your pay I don’t think any of you a worth the wages us tax payers pay you 🤬🤬🤬🤬,2022-12-19T16:19:37+0000
177,"2022-12-20: Dear Sir, #PleaseRT  In an interview with the German magazine Zeit dated December 7, former German Chancellor Angela Merkel “revealed” that the “Minsk Agreement” was intended to “buy time”. ● Click below for the full text! https://toworldmedia.blogspot.com/ ❤ The world's ""special zones"": USA's Mexican border, EU Algeria, Commonwealth 　British Commonwealth - Australia, Okinawa, North Korea, Sakhalin...English, Japanese, French, German　　 https://naganoopinion.blog.jp/  ---------   Rishi Sunak UK’s Prime Minister  Please do your best ----------",2022-12-19T07:15:39+0000
178,📢 Have your voice heard and stand up against Labour’s nightmare before Christmas  action.conservatives.com/nightmare-before-christmas,2022-12-17T11:59:02+0000
179,Wow great way to repackage your mess. Top class gaslighting 👍🏻,2022-12-17T12:01:17+0000
180,About six weeks ago I listened stunned when we had the unelected 🐍 Sunak foisted on us.,2022-12-16T11:05:43+0000
181,Let's help shape the Britain of today🤔,2022-12-12T16:44:49+0000
182,You can't even shape great Britain let alone the world 🤬,2022-12-12T16:36:24+0000
183,Britain is now a small insignificant group of islands off the North West of Europe. you'll influence nobody.😂,2022-12-13T14:26:53+0000
184,More of the same then ending with immigration out of control everyone given Uk citizenship like it’s free with cornflakes 😡,2022-12-13T13:29:53+0000
185,Good luck from the people of Scotland 🤙🏻🏴󠁧󠁢󠁥󠁮󠁧󠁿🇬🇧🏴󠁧󠁢󠁳󠁣󠁴󠁿,2022-12-10T18:43:43+0000
186,Thankyou we need all the luck we can get with you lot in charge 😂,2022-12-10T21:30:04+0000
187,'Good luck England ' Not.the best choice of words from the Tories😂,2022-12-11T14:58:01+0000
188,Vive la France 🇫🇷🇫🇷🇫🇷😁😁🎉🥇👏👏👏👍🎉🎉!!! I feel a great collective wave of relief from everywhere (except England obviously 😁)!! So good to see the back of England and out of another big tournament again 👋👋 BON VOYAGE 😁! I don’t actually care who wins it but thankfully it won’t be you 😂.,2022-12-10T21:12:39+0000
189,Good Luck England🍀🏴󠁧󠁢󠁥󠁮󠁧󠁿,2022-12-10T18:42:33+0000
190,Wonder how little abuse Kane will get for missing that penalty 🤔,2022-12-10T20:55:49+0000
191,Wishing them every bit of luck. Fingers crossed. 💪💪💪🤞,2022-12-10T18:48:18+0000
192,"🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧 Good luck, lads!!🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿",2022-12-10T18:57:27+0000
193,Good luck England ⚽️🦁🤞🏻❣🍀,2022-12-10T18:30:18+0000
