,message,created_time,label
140,"🟡 Rishi Sunak’s Maths Plan  The prime minister is looking at plans to ensure all pupils in England study maths in some form until the age of 18. Rishi Sunak will announce the aim in his first speech of 2023 later, which he will use to set out his priorities for the year. 🟡 This is an admission of failure from the Prime Minister on behalf of a Conservative Government that has neglected our children's education so badly. 🟡 Too many children are being left behind when it comes to maths, and that happens well before they reach 16. 🟡 The Prime Minister's words mean nothing without the extra funding and staff to make it happen. You don't need a maths A-Level to know it takes more teachers to teach maths to age 18 than to 16.  🟡 Schools are already struggling with a shortage of maths teachers, and the Conservatives have no plan to turn that around. 🟡 If Rishi Sunak is serious about reversing the Conservatives' awful record on numeracy, he should start by cancelling the planned cuts to early years education and come forward with a real plan to recruit and retain the teachers we need.",2023-01-04T15:27:59+0000,0
190,Wonder how little abuse Kane will get for missing that penalty 🤔,2022-12-10T20:55:49+0000,0
262,Go England 🏴󠁧󠁢󠁥󠁮󠁧󠁿,2022-11-29T16:23:44+0000,2
48,"Great News..About Time ,Stupid idiots, waste our time & don't get anywhere. 👍👍👍",2023-01-17T11:44:27+0000,0
123,So it's the governments fault that they don't know how to claim 🙄,2023-01-08T11:44:07+0000,0
88,"Now that is just not true. The High St in Rishy Sunak's constituency is being revamped🤔. So much for levelling up as opposed to buying votes then.  As for public transport, HS2 is going ahead but just not where it is needed and not by simply extending the network developed by those filthy europeans.🤔Another, very expensive mess.",2023-01-20T08:44:54+0000,0
245,Shame he is not leading now 🤔,2022-11-30T19:01:03+0000,0
331,It's just not though is it 😅 it's going to private companies that drain the NHS,2022-11-20T20:18:22+0000,0
10,Lest we forget 😪❤️,2023-01-27T11:05:47+0000,1
159,Stop blaming unions for the amount of money the Conservatives  have wasted. Billions and billions absolute disgrace. Just be honest and stop scapegoating other organisations 😡,2022-12-23T10:39:06+0000,0
50,"“We won’t let Labour-backed unions grind Britain to a halt”  Aye,  you’re doing that all by yourselves 🤷‍♀️",2023-01-16T08:46:54+0000,0
89,"It has dipped by 0.2%, and is still over 10%. And this is just CPI. It is calculated against figures over the past year, of course it is levelling out 🙄  Yet the tories tell us this is a win…….let the good times roll, eh.",2023-01-18T11:44:09+0000,0
136,"😱 🔵 Government announce plans to  introduce anti-strike laws 🟡: The Government has announced they are bringing forward legislation to enforce minimum service levels in health, rail, fire, borders and education services. 🟡: Minimum service levels won’t avert disruption. There will still be huge overcrowding and delays which is no good to people in an emergency. The best way to avoid disruption is to prevent these strikes in the first place, which means getting round the table with staff and employers to find a solution. 🟡: This looks like another attempt by the Conservatives to distract from their appalling mismanagement of the economy and from their failure to avert strikes in the first place. 🟡🔶🧡 We’ll be carefully scrutinising this legislation. But from what the government is saying, our concern is this simply won’t work.",2023-01-05T20:40:43+0000,0
268,Matt Hancock is my hero god bless you sir for your service to the country and its people a modern day Churchill ☺️,2022-11-29T12:27:47+0000,2
132,"The last time I saw a police man walking it turned out somebody had stolen his van, more police on the beat Yeeeah 🤣",2023-01-03T09:05:51+0000,0
174,Happy new year 🥳,2023-01-01T00:10:20+0000,2
22,Congratulations ❤️ result was never in doubt 🌹,2022-12-16T09:48:59+0000,2
183,Britain is now a small insignificant group of islands off the North West of Europe. you'll influence nobody.😂,2022-12-13T14:26:53+0000,0
72,Empower the working class and support the Unions that represent them as when the TRUE founders of the Labour Party did. Lose the Tory Tinge that colours today's party under Starmer 😡,2022-12-05T13:21:30+0000,0
79,Japanese troops on our streets? What could possibly go wrong.😂,2023-01-11T17:21:19+0000,0
290,Good luck from Scotland 🤙🏻🇬🇧,2022-11-21T12:59:24+0000,2
127,Keep bills down by insulating homes is vague. Most of us have insulated homes so what can you do about that 🤷‍♂️,2022-11-27T21:32:28+0000,1
134,"Labour will... get rid of all the left-thinking folk, turn its back on its socialist roots, all in the guise of antisemitism whilst supporting the most racist, vile Isreali government ever, for money. 🤮",2022-11-26T16:06:57+0000,0
45,Maybe they should concentrate on reversing the privatisation of the NHS  But where would Streeting get his funding from 🤬,2022-12-12T18:28:41+0000,0
272,...Labour have been calling for this for soooo long 😄 ...onshore wind turbine U-turn next 🤔,2022-11-28T13:55:51+0000,0
176,"Motherhood  gets  in  the  way , its  a  feminine function I am afraid to mention , but Politics and the Bravado associated with it can be dramatic and lead to strokes/😜😟🥲trauma/blood pressure/heart and angina symptoms which can be '' health factors that put many females off the pedestal in politics '' !",2022-11-21T12:23:13+0000,0
246,THIS WAS BEFORE STRONG ENOUGH THIS IS WHAT WE CONTINUE STRONG ALWAYS WE WILL CONTINUE HIS MEMORIES OF HEAD WORK MAN WE CONTINUE WITH THIS CONFIDENCE 🇬🇧💪 🎉,2022-11-30T19:03:58+0000,2
56,"Stick to what you are good at , backstabbing lying and cheating . Worked for the Tories 🤔.",2022-12-10T09:41:19+0000,0
158,Don't Trust Either Tory Party Red or Blue 😡,2023-01-17T11:39:48+0000,0
194,You all the same a bunch off well dressed snakes 🐍you will get what you deserve people won’t forget who destroyed world economy 😡,2022-12-27T17:24:59+0000,0
74,"😮 Many Doctors and Nurses have left NHS direct employ because they can get better pay from agencies. 😡 The Agencies then supply them back to the NHS at a higher cost than their original salary  ➕ the Agency adds it’s fee on top. 📈 According to the Telegraph, The NHS has paid up to £2,500 a shift for nurses in order to fill staffing holes, it has been revealed.  👩‍⚕️ It’s about time we trained enough Doctors and Nurses to stop this privatisation, one nurse at a time.",2023-01-22T18:08:18+0000,0
113,"Sadly the people who love Fake Labour are as intolerant as Starmer, they come with their Troll attack accounts to do as their master bids and shut down dissenters   shut down any debate and try to shut down democracy and in their eyes if you tell a truth... You must be smeared and cut off... Rayner and Nandy both appeared on the bought and sold mps poster. Nandy has millions and leads a 'lavish lifestyle' and Rayner is also a millionaire, not one of them gave a penny of their pay rises to charity like many other good mps did... That's Fake Labour Gravy trainers for you... Just when the UK 🇬🇧 desperately needs an opposition party that works for them, rather than themselves? 🤔",2022-12-02T08:18:11+0000,0
127,"🔶 Ambulance staff numbers fall  as NHS crisis worsens 🟡 There are fewer full-time ambulance staff compared to 2015, new figures we've uncovered through House of Commons Library research have revealed. 🟡 It is no wonder ambulance waiting times have reached dangerous levels when the Government has failed to recruit more paramedics. 🟡 This once again proves the blame for the NHS crisis lies squarely with the Conservative Government. 🟡 More lives will be lost if the Government does not act now. Ministers must launch an emergency recruitment campaign to staff our ambulances and save lives.",2023-01-09T20:36:57+0000,0
200,More government waste. Why not try giving some of it back to the people who earned it so that we can decide how it should be spent? 😉😉,2022-12-08T16:33:29+0000,0
49,"What about minimum levels on non strike days? Political games , by a government that has no sense of the nation’s mood - and resorts to ‘bully boy’ tactics. ☹️",2023-01-16T08:45:25+0000,0
67,I don’t know why people think this deserves a 😂 emoji!!  And funny how they’re all male!! Guess what??!! Men can get it as well!!  This is fantastic news for families,2023-01-12T17:10:07+0000,2
77,"Starmer is on the wrong side of every argument and that’s why he has no policies and having accepted this money, few principles!  Other than opposing Brexit, nobody knows what he stands for because if he told us, people wouldn’t vote for  his version of North London wokery.  Labour stopped representing our communities a long time ago 🥀",2023-01-15T09:46:14+0000,0
53,🤦🏼 another bad decision from our brilliant government !,2023-01-14T13:37:38+0000,0
101,Martin Sharp 😄,2023-01-07T09:41:13+0000,2
92,"Clearly l am living in a parallel universe to our PM. Where l live there are no places in care homes, there are insufficient care workers to cope with homes and residents that exist at the moment and there are insufficient carers to enable people to return to their own homes🤔",2023-01-09T17:34:15+0000,0
187,Engage the electorate into understanding for every problem there is a solution which starts by having a voting system that allows Your vote My vote Our vote to count.  Talk PR in every interview for every question.  Positive point of difference to the other two 🔶,2022-12-29T18:13:54+0000,1
117,"PLEASE FOR GOODNESS  SAKE Wake up Britain💥 🇬🇧🇪🇺☀️! Stop these uncaring greedy lying dodgy Tory Brexiteers 🤡🤡🤡  Billionaire Brexiteer Sunak and his rich millionaire toadies are ALL bluster and NO action 🤡 They have done nothing on critical issues for years and are trying to privatise our NHS & asset strip our country 🤡🤡🤡 How can anyone TRUST these lying cheating Tories after their Russian involvement, Partygate, PPI Scandal, £37 Billion NHS Test & Trace Scam, Sewage Dumping, Dental Crisis and much more has been exposed ? ! 🤡🤡🤡 Please support the EU Liberal Democrats 🇬🇧🇪🇺🇺🇦 Rejoin the EU 🇬🇧🇪🇺🌟",2023-01-08T21:00:08+0000,0
45,"Protecting patients, commuters and keeping children in school by running down the services and putting more and more pressure on the workers.. uhmmmm 🤔😔",2023-01-18T09:57:06+0000,0
90,Good - that’s something that I can definitely vote for 👏,2022-12-02T15:08:42+0000,2
247,"My hero. My wife and I,had the honour to watch him being taken in his funeral procession, from her office overlooking Fleet Street in 1965. Never to be forgotten. RIP You Great man, you certainly deserve it.👏🇬🇧👏🇬🇧👏🇬🇧👏🇬🇧",2022-11-30T21:36:34+0000,2
108,"🔶 Ambulance staff numbers fall  as NHS crisis worsens 🟡 There are fewer full-time ambulance staff compared to 2015, new figures we've uncovered through House of Commons Library research have revealed. 🟡 It is no wonder ambulance waiting times have reached dangerous levels when the Government has failed to recruit more paramedics. 🟡 This once again proves the blame for the NHS crisis lies squarely with the Conservative Government. 🟡 More lives will be lost if the Government does not act now. Ministers must launch an emergency recruitment campaign to staff our ambulances and save lives.",2023-01-10T14:02:38+0000,0
280,"Keep sending them all the old, retired, slightly faulty kit that we don’t want or need anymore 😂",2022-11-23T15:54:12+0000,0
1,Staff leaving the sector in droves! Nobody wants to work for the peanuts being offered & the long term debt training in the NHS inflicts on staff. They are really living in a parallel world this lot. 😡,2023-01-30T10:47:22+0000,0
121,"We need to do what the Athenians used to do, All public officials faced an audit when they left office, and corrupt and/or incompetent ones were punished with exile or execution.  We need that bringing back. 😡",2023-01-07T14:11:40+0000,0
97,"We need this Tory Government to back it’s pledge for more Doctors. Funding more places for Medical Students, starting with Worcester University’s Medical School. ▶️ NHS chief Amanda Pritchard: UK must train many more doctors and nurses Health service boss demands more places in medical schools as she warns that hospitals are ‘over-reliant’ on foreign staff  #FundingPledge  #StudentNurses #MedicalStudents #NHS  #SocialCare",2023-01-14T08:30:48+0000,1
63,Why isn't the Labour Party supporting the strikers? 😠,2022-12-09T17:31:40+0000,0
276,What about our borders and beaches!!!!  Letting in these people we don’t know 😡😡😡,2022-11-25T17:02:30+0000,0
279,Hope ukraine are paying us back at some point 💰💰💰💰💰💰💰💰💰💰💰💰,2022-11-23T14:52:20+0000,1
253,Happy St Andrews day to our friends across the Border.🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁷󠁬󠁳󠁿,2022-11-30T22:41:48+0000,2
106,Congratulations well done 👏,2022-12-02T10:12:09+0000,2
68,"Trust 🤣🤣🤣🤣   WHY DIDN'T STARMER  say anything about the SLEAZY  goings on with his OWN MP'S, Yvette Cooper, Wes Streeting and Dan Jarvis who received £350,000 between them and never declare it as earning over their MP'S SALARY. Given to them by MPM CONNECT LTD. WHAT did they do to be paid that vast sum . How does Starmer manage to hide this sleaze from the BBC.  It appears he somehow blocks all Labour misdemeanors from being told on. BBC NEWS CHANNELS.",2023-02-03T17:01:38+0000,0
93,Nurses Absolutely 100% ❤️,2022-12-03T21:08:13+0000,2
84,"Love that trip to Morecombe,  and covered swimming pool promise! It will certainly replace billions from EU funding! Love them "" cockells""!🤣",2023-01-20T04:39:19+0000,0
100,Merry Christmas🎄from 🏴󠁧󠁢󠁥󠁮󠁧󠁿🇵🇭,2023-01-07T14:55:06+0000,2
153,"The country is a failed state and that’s after mass migration and all the good it done us !  Diluting the currency to build mass high density housing and now the debt has got to be paid back - 3 years of higher taxes , real term wages cuts simply just to pay the Gov debt interest as in 3 years the debt will only be reduced by 0.2% in relation to GDP . The invoice for migration has finally arrived 👍  Prepare for a painful reality",2022-11-24T16:10:46+0000,0
195,"I don’t understand !! We had diversity, we took the knee, SakaShit played, all I can think of is how limited we were in being unable to virtue signal to the full capacity being denied the 🌈 flag armbands",2022-12-10T21:05:06+0000,0
1,"Christmas is a reminder that we should, as a country, remember to assist those less fortunate than ourselves.   Remember that it is easier for a rich person to pass through the eye of a needle … and all that! 😁",2022-12-25T17:41:28+0000,2
78,WAKE UP STARMER ! 🤡 THE MAJORITY OF THE LABOUR PARTY AND THE UK WANT TO REJOIN THE EU 🇬🇧🇪🇺🌟,2022-12-04T19:13:12+0000,0
50,I read this as people were offended by the Blue Wall Gag 😅,2023-01-24T15:07:54+0000,1
113,Is this a parady 😂,2023-01-05T11:59:07+0000,0
42,I wish he was running the show! The only issue I have is that he is (or was) a Brexiteer which doesn’t make sense given his role. The EU have a lot of legislation to protect workers rights🤷‍♂️….all of which the tories want to put on the bonfire according to ReesFogg.,2023-01-17T10:28:20+0000,0
8,"So which parent company will make, erect and maintain the wind turbines. Will it be Norwegian.  Will we make sure that all the firms that have anything to do with our utilities and transport are foreign, like now .😡",2022-12-22T21:58:00+0000,0
12,"Boris Johnson should be next followed by Grant shapps followed by the London mayor caught fiddling the ULEZ expansion consultation results with his deputies! Come on Rishi  More need BR-EXIT!!!  The 1995 Nolan principles  7 in total   1.) The seven principles of public life apply to anyone who works as a public office holder   Selflessness   1.1) Holders  of public office should act solely interns of the publics interest ❌  1.2) integrity   Holders of public offices must avoid placing themselves under obligation to people or organisations that might try inappropriately to influence them in their work  They should not act or take decisions in order to gain financially❌  Objectivity  1.3)Holders of public office must act and take decisions impartially ,fairly  and on merits ❌  1.4)Accountability  Holders of public office are accountable to the public unless a lawful reason for doing so❌  1.5) openness  Holders of a public office should be open and transparent unless a lawful reason for doing so ❌  1.6)Honesty  Holders of public office should be truthful ❌  1.7) leadership  Holders of public office should exhibit these principles in their own behaviour and treat others with respect . They should actively promote and robustly support the principles and challenge poor behaviour wherever it occurs❌  #FAILED",2023-01-29T16:02:56+0000,0
66,Keeping the economy barely alive yeah great. 👏,2023-01-13T11:39:24+0000,0
102,It’s almost like the Tories want slavery 🧐 to support there Edwardian backward thinking.,2023-01-12T11:52:07+0000,0
29,Disgraceful 👎,2023-01-26T19:11:29+0000,0
293,"All the best -"" ENGLAND 🏴󠁧󠁢󠁥󠁮󠁧󠁿""-- . 😊❤👍",2022-11-21T12:59:29+0000,2
32,Mark Logan MP  oh dear! Just when you were doing ok 👎,2023-01-26T21:18:12+0000,0
120,"And just like that it appears a lot of the Conservative rats have been receiving donations from private health care companies. I wonder what the outcome would be from the Tory rats running the NHS into the ground, and the rats receiving dirty private care funding 🧐  https://www.facebook.com/100064840144175/posts/556059513232049/?vh=e&extid=0&d=n",2023-01-08T17:50:26+0000,0
113,"It’s almost like the Tories are copying the Russian clowns. Fabricate what is going on until serious issues occur, then just blame the commissioners and not another patriotism from the public 🤮  The Tories have cut Police budgets for years, if the Police want support they need to stop getting pictures taken with the Tory parasites, and stop closing ranks when criminals and rapists are found in there ranks.",2023-01-09T21:37:04+0000,0
160,Something new Labour with a plan 😊😊,2022-11-22T13:33:24+0000,2
236,It’s like a sketch from ‘The Office.’ 😂😂😂 Good job Rishi Brent 😂😂😂😂,2022-12-02T21:12:45+0000,0
5,'Compassion and Kindness?'  🤣🤣... thats precisely why I joined the labour party.  But they departed and so did I.,2022-12-25T09:23:46+0000,0
118,It would be so helpful if we could also look at Brexit…￼Reversing it?  Another Referendum? Rejoining the Single Market?  Any way forward on that is better than the disaster we currently due to this Brexit nonsense. Then we might start to recover economically. 🙏,2022-12-03T21:47:33+0000,1
162,"😂 Ha the irony in these posts is the tories think that the public don't support the strikes, Labour are missing a trick in staying silent, the NHS strikers above all deserve all our support. I have voted Conservative all but once in my adult life but we cannot build a health service for the future if no-one wants to join it because the pay is so poor. Wake up Rishi or pay the price at the GE..",2022-12-23T10:26:58+0000,0
237,"The show is over ,time to call it a day & let's us not forget that It was this very same party that gave us Lizz Truss  😒",2022-12-02T17:32:57+0000,0
260,Good luck to both teams but hoping for our boys to win ❤️ 🏴󠁧󠁢󠁥󠁮󠁧󠁿⚽️🏴󠁧󠁢󠁥󠁮󠁧󠁿,2022-11-29T16:44:35+0000,2
157,"🗳️ Advantages of Proportional Representation (PR) * Moving to PR would give minority parties and independent candidates a better chance of winning seats in Parliament. * Candidates would be elected in the basis of a proportion of the votes cast rather than less than 50%.  * Voters would have a choice of representatives more sympathetic to their political views and social condition.  * PR ensures that the parties would have to appeal to their core supporters, rather than a small number of so called ‘swing voters’ in marginal seats. It means electors can vote for their real preference rather that picking the least worst. * It could be argued that PR delivers fairer treatment of minority parties and independent candidates * Under PR fewer votes are ‘wasted’ as more people’s preferences are taken into account * PR potentially offers greater and more-representative choice for voters. * PR may encourage turn-out and reduce apathy. * PR rarely produces an absolute majority for one party, however, it could be argued that PR ensures greater continuity of government and requires greater consensus in policy-making.",2023-01-03T11:11:04+0000,2
124,"Gordon Brown tried to sort this out, that was before 2008 Bank crisis 😳 Not much has changed.",2022-11-28T12:43:57+0000,0
44,Great! Minimum service levels would be a great start to ensuring that patients have the correct number of staff available per shift. Is your plan that this happens everyday or just when staff strike? Because I feel you have a duty to make sure it's every day.   The staff will be very pleased to know that you'll be providing extra staff to achieve this! Maybe everyday needs to be a strike day! 🙂,2023-01-19T09:18:35+0000,2
294,Come on Wales 🏴󠁧󠁢󠁷󠁬󠁳󠁿👍❤️🥳,2022-11-21T13:49:44+0000,2
313,Better pass the Dignity in Dying law so I can plan my future health & social care then!😳😳,2022-11-20T12:00:39+0000,1
169,"Better scientific what..?  That's not even a full sentence 🤣 And as for the fish. So yeah, they may be able to catch more but who are they going to sell it to? Their biggest market is all but closed off to them now 🤦‍♂️",2022-12-21T21:54:48+0000,0
100,I see the Conservatives re-enacted the potted plant 🪴 on TV again. https://www.facebook.com/BBCQuestionTime/videos/526592785927952/?vh=e&extid=0,2023-01-13T12:38:54+0000,1
87,Wonder if he's shook the hands of all the people outside that have been queueing in Ambulances for 6 hours!! 😡😡,2023-01-09T21:41:07+0000,0
85,Are you really that desperate? 🤣,2023-01-20T09:26:09+0000,0
231,"If it moves, tax it, if it doesn’t, give it some money 😄😄",2022-12-04T17:45:03+0000,0
115,😏 Nah …. Rishi has never worried a about a gas and electricity bill 📃,2023-01-05T19:27:54+0000,0
291,Just no kneeling!! Please!! Good Luck from Denmark🏴󠁧󠁢󠁥󠁮󠁧󠁿👍🏴󠁧󠁢󠁥󠁮󠁧󠁿👍🏴󠁧󠁢󠁥󠁮󠁧󠁿!,2022-11-21T13:29:33+0000,2
15,"We brought in Nigerian Doctors to cover... They want to go home, because conditions in NHS England are so bad... Not safe for patients or staff... You NEED to do WAY better than make promises you just can't keep 🙈🙈 Start by showing your support to our striking NHS Staff !!!!",2022-12-18T11:35:19+0000,0
81,"Britishvolt zaps out ⚡️❌  The pride and joy of the Government’s levelling-up agenda was, well, levelled on Tuesday when the electric car battery start-up Britishvolt went into administration. The factory in Blyth, Northumberland was meant to bring thousands of jobs and kick-start a homegrown electric car industry in the UK.",2023-01-21T08:46:28+0000,1
76,Yep - but the Toerags main thrust is to teach Maths until 18 ! Bold and brave.🤣🤣🤣🤣🤣,2023-01-11T17:59:13+0000,0
207,"Schools are horribly underfunded, pupils and parents buying their own books and paying for trips etc. Teachers massively disgruntled, some using food banks and on the verge of striking for better pay and conditions, except private schools of course... what a marvellous job the Tories have done to drive up standards 🙄",2022-12-06T16:03:52+0000,0
199,I’m just thinking with the foreign aid budget should we on paper allow an allowance to countries that we choose to support. then any migrants that come here we have to support comes out of that allowance. If we pay them foreign aid what they receive is reduced by the number of there migrants we have support then maybe countries would try to support there own if they loose support money. As we are a kind country  with a big heart ♥️ but currently broke and can’t support everyone we need to focus on our own homeless and issues first. Just a thought 🤔,2022-12-09T10:25:35+0000,1
281,Who’s going to defend our energy utility bills🤔🤔🤔🤔🤔🤔🤔,2022-11-23T20:51:25+0000,0
107,A plan you say????? 🤣🤣🤣🤣🤣,2023-01-10T14:10:05+0000,0
88,"Please help the nurses. They pay to go to uni, have to work for free for three years then start on 27k working nights and 12hr shifts. 😧",2023-01-09T17:47:03+0000,0
55,Rejoini-smacks will be desperately scrabbling around the internet searching for something negative in a pathetic attempt to try save face 🤣🤣🤣,2023-01-13T13:55:47+0000,0
80,Yet you struggle to prevent civilians in rubber dinghies from crossing a short stretch of the English Channel 😄😄,2023-01-11T17:51:39+0000,0
216,Good result but ....all that kicking it back all the time is boring and how many times it was kicked back and Senegal nearly scored 🤷 .....they won't get away with that with France ....they need to up their game now but I won't hold my breath 🤔,2022-12-04T22:19:33+0000,0
70,My last GP interaction was brilliant. Done and dusted 150mins after submitting an online request. 👏🏻👏🏻👏🏻,2022-12-06T20:03:33+0000,2
33,ow if you could just ensure they were paid properly and had decent conditions🤔🤔,2023-01-17T19:37:37+0000,0
33,"That’s just politicians though. Say one thing, do the other. 🤷🏻‍♂️",2023-01-26T09:35:40+0000,0
85,This is the *best* parody page on FB! 🤡,2023-01-11T21:36:50+0000,0
168,"Really torn, love football at all levels, but too many injustices surrounding the World Cup, it doesn't settle well with my beliefs. Almost impossible to be happy and sad at the same time. 😂😢😂😢",2022-11-21T12:39:31+0000,1
58,"🟡Julia Davies a member of “Patriotic Millionaires” Here is what she says in the Guardian 🟡 Let’s be clear at the outset – the latest Nadhim Zahawi scandal isn’t just a tradesman forgetting to put a few jobs through the books. This is the man who was in charge of taxation, who by his own admission has been “careless” in abiding by the rules he was appointed to oversee. The stance of HM Revenue and Customs, in concluding that the deficiency was “careless and not deliberate”, also fails to impress.” 🟡 As a Patriotic Millionaire, part of a network from multiple industries and of differing backgrounds who want a more just, stable and inclusive economy and the end of extreme wealth, I see tax as investment in our public services and I would welcome being required to pay more tax as a person with the privilege of wealth.”  https://www.theguardian.com/commentisfree/2023/jan/25/nadhim-zahawi-british-millionaires-pay-taxes-nhs?CMP=Share_iOSApp_Other",2023-01-25T19:15:52+0000,1
